i    j    k    brain       skull       skin        outside     
2    16   9    0.973633    0.026367    0.000000    0.000000    
2    16   16   1.000000    0.000000    0.000000    0.000000    
2    16   7    0.069824    0.202148    0.263184    0.464844    
2    16   8    0.551270    0.271973    0.149902    0.026855    
2    16   15   1.000000    0.000000    0.000000    0.000000    
2    16   22   0.978027    0.021973    0.000000    0.000000    
2    16   20   1.000000    0.000000    0.000000    0.000000    
2    16   12   1.000000    0.000000    0.000000    0.000000    
2    16   18   1.000000    0.000000    0.000000    0.000000    
2    16   21   1.000000    0.000000    0.000000    0.000000    
2    16   17   1.000000    0.000000    0.000000    0.000000    
2    16   24   0.073730    0.189453    0.261719    0.475098    
2    16   19   1.000000    0.000000    0.000000    0.000000    
2    16   25   0.000000    0.000000    0.037598    0.962402    
2    16   23   0.583984    0.252930    0.143555    0.019531    
2    17   6    0.000000    0.000000    0.016113    0.983887    
2    17   8    0.512207    0.265625    0.176758    0.045410    
2    17   7    0.046387    0.156738    0.233887    0.562988    
2    17   9    0.945801    0.054199    0.000000    0.000000    
2    17   10   1.000000    0.000000    0.000000    0.000000    
2    17   12   1.000000    0.000000    0.000000    0.000000    
2    17   11   1.000000    0.000000    0.000000    0.000000    
2    17   13   1.000000    0.000000    0.000000    0.000000    
